word	collection	value
church	country	1433/1372315
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
aldrov	country	101/1372315
aldrov	milton	0
aldrov	shakespeare	0
aldrov	corpus	209/35690052
vertues	country	855/1372315
vertues	milton	39/332927
vertues	shakespeare	77/686328
vertues	corpus	5047/35690052
faith	country	802/1372315
faith	milton	154/332927
faith	shakespeare	433/686328
faith	corpus	14388/35690052
montafar	country	49/1372315
montafar	milton	0
montafar	shakespeare	0
montafar	corpus	98/35690052
nurriture	country	34/1372315
nurriture	milton	0
nurriture	shakespeare	0
nurriture	corpus	34/35690052
marggrave	country	47/1372315
marggrave	milton	0
marggrave	shakespeare	0
marggrave	corpus	92/35690052
temperature	country	677/1372315
temperature	milton	1/332927
temperature	shakespeare	0
temperature	corpus	2612/35690052
flore	country	198/1372315
flore	milton	5/332927
flore	shakespeare	0
flore	corpus	665/35690052
guatemala	country	129/1372315
guatemala	milton	0
guatemala	shakespeare	0
guatemala	corpus	587/35690052
clusij	country	70/1372315
clusij	milton	0
clusij	shakespeare	0
clusij	corpus	244/35690052
thy	country	544/1372315
thy	milton	1117/332927
thy	shakespeare	5081/686328
thy	corpus	16616/35690052
thou	country	535/1372315
thou	milton	994/332927
thou	shakespeare	6704/686328
thou	corpus	18736/35690052
orchis	country	60/1372315
orchis	milton	0
orchis	shakespeare	0
orchis	corpus	130/35690052
kindes	country	487/1372315
kindes	milton	5/332927
kindes	shakespeare	5/686328
kindes	corpus	2348/35690052
whitehead	country	72/1372315
whitehead	milton	0
whitehead	shakespeare	0
whitehead	corpus	79/35690052
leaued	country	134/1372315
leaued	milton	0
leaued	shakespeare	0
leaued	corpus	490/35690052
described	country	448/1372315
described	milton	7/332927
described	shakespeare	0
described	corpus	3436/35690052
caape	country	39/1372315
caape	milton	0
caape	shakespeare	0
caape	corpus	81/35690052
brasilian	country	66/1372315
brasilian	milton	0
brasilian	shakespeare	0
brasilian	corpus	147/35690052
tulipa	country	38/1372315
tulipa	milton	0
tulipa	shakespeare	0
tulipa	corpus	81/35690052
churches	country	415/1372315
churches	milton	51/332927
churches	shakespeare	8/686328
churches	corpus	8945/35690052
case	country	415/1372315
case	milton	71/332927
case	shakespeare	132/686328
case	corpus	12172/35690052
non	country	414/1372315
non	milton	224/332927
non	shakespeare	18/686328
non	corpus	7757/35690052
quintos	country	27/1372315
quintos	milton	0
quintos	shakespeare	0
quintos	corpus	54/35690052
hippolito	country	85/1372315
hippolito	milton	0
hippolito	shakespeare	0
hippolito	corpus	310/35690052
caribbies	country	36/1372315
caribbies	milton	0
caribbies	shakespeare	0
caribbies	corpus	38/35690052
pope	country	405/1372315
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	32412/35690052
ireland	country	404/1372315
ireland	milton	31/332927
ireland	shakespeare	31/686328
ireland	corpus	12641/35690052
black	country	396/1372315
black	milton	36/332927
black	shakespeare	57/686328
black	corpus	4368/35690052
syluestris	country	60/1372315
syluestris	milton	0
syluestris	shakespeare	0
syluestris	corpus	223/35690052
floure	country	175/1372315
floure	milton	3/332927
floure	shakespeare	0
floure	corpus	780/35690052
become	country	369/1372315
become	milton	47/332927
become	shakespeare	181/686328
become	corpus	8145/35690052
trefoile	country	55/1372315
