word	collection	value
pope	country	16188/9174123
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	32412/35690052
yogh	country	937/9174123
yogh	milton	0
yogh	shakespeare	0
yogh	corpus	943/35690052
church	country	11113/9174123
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
charles	country	10940/9174123
charles	milton	92/332927
charles	shakespeare	54/686328
charles	corpus	18673/35690052
queen	country	10375/9174123
queen	milton	77/332927
queen	shakespeare	27/686328
queen	corpus	24670/35690052
scottis	country	442/9174123
scottis	milton	0
scottis	shakespeare	0
scottis	corpus	442/35690052
paris	country	7576/9174123
paris	milton	16/332927
paris	shakespeare	123/686328
paris	corpus	11048/35690052
nocht	country	334/9174123
nocht	milton	0
nocht	shakespeare	0
nocht	corpus	334/35690052
earle	country	7293/9174123
earle	milton	1/332927
earle	shakespeare	105/686328
earle	corpus	13497/35690052
scotland	country	6755/9174123
scotland	milton	30/332927
scotland	shakespeare	31/686328
scotland	corpus	15620/35690052
parliament	country	6243/9174123
parliament	milton	148/332927
parliament	shakespeare	23/686328
parliament	corpus	18590/35690052
earl	country	6090/9174123
earl	milton	77/332927
earl	shakespeare	0
earl	corpus	13272/35690052
edward	country	6088/9174123
edward	milton	113/332927
edward	shakespeare	137/686328
edward	corpus	12606/35690052
thaym	country	385/9174123
thaym	milton	0
thaym	shakespeare	0
thaym	corpus	392/35690052
bourgongne	country	498/9174123
bourgongne	milton	0
bourgongne	shakespeare	0
bourgongne	corpus	549/35690052
thay	country	635/9174123
thay	milton	0
thay	shakespeare	0
thay	corpus	654/35690052
philip	country	5481/9174123
philip	milton	25/332927
philip	shakespeare	14/686328
philip	corpus	12435/35690052
mayenne	country	476/9174123
mayenne	milton	0
mayenne	shakespeare	0
mayenne	corpus	721/35690052
aganis	country	245/9174123
aganis	milton	0
aganis	shakespeare	0
aganis	corpus	245/35690052
cardinal	country	5177/9174123
cardinal	milton	11/332927
cardinal	shakespeare	1/686328
cardinal	corpus	9483/35690052
yair	country	235/9174123
yair	milton	0
yair	shakespeare	0
yair	corpus	235/35690052
turenne	country	590/9174123
turenne	milton	0
turenne	shakespeare	0
turenne	corpus	852/35690052
germany	country	5017/9174123
germany	milton	14/332927
germany	shakespeare	3/686328
germany	corpus	10175/35690052
thair	country	739/9174123
thair	milton	0
thair	shakespeare	0
thair	corpus	767/35690052
efter	country	300/9174123
efter	milton	0
efter	shakespeare	0
efter	corpus	302/35690052
abis	country	525/9174123
abis	milton	1/332927
abis	shakespeare	0
abis	corpus	631/35690052
quhare	country	203/9174123
quhare	milton	0
