word	collection	value
pred	country	110/337384
pred	milton	0
pred	shakespeare	0
pred	corpus	332/35690052
jonks	country	45/337384
jonks	milton	0
jonks	shakespeare	0
jonks	corpus	76/35690052
prefertur	country	44/337384
prefertur	milton	0
prefertur	shakespeare	0
prefertur	corpus	132/35690052
bungo	country	52/337384
bungo	milton	0
bungo	shakespeare	0
bungo	corpus	128/35690052
dayro	country	28/337384
dayro	milton	0
dayro	shakespeare	0
dayro	corpus	30/35690052
bonzii	country	37/337384
bonzii	milton	0
bonzii	shakespeare	0
bonzii	corpus	48/35690052
turnor	country	82/337384
turnor	milton	0
turnor	shakespeare	0
turnor	corpus	456/35690052
bonza	country	41/337384
bonza	milton	0
bonza	shakespeare	0
bonza	corpus	62/35690052
anglice	country	48/337384
anglice	milton	1/332927
anglice	shakespeare	0
anglice	corpus	147/35690052
willielmi	country	36/337384
willielmi	milton	0
willielmi	shakespeare	0
willielmi	corpus	115/35690052
xavier	country	141/337384
xavier	milton	0
xavier	shakespeare	0
xavier	corpus	428/35690052
church	country	294/337384
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
iapanners	country	57/337384
iapanners	milton	0
iapanners	shakespeare	0
iapanners	corpus	94/35690052
courten	country	130/337384
courten	milton	0
courten	shakespeare	0
courten	corpus	1140/35690052
provinciar	country	24/337384
provinciar	milton	0
provinciar	shakespeare	0
provinciar	corpus	72/35690052
iaponneses	country	29/337384
iaponneses	milton	0
iaponneses	shakespeare	0
iaponneses	corpus	47/35690052
firando	country	72/337384
firando	milton	0
firando	shakespeare	0
firando	corpus	174/35690052
coray	country	36/337384
coray	milton	0
coray	shakespeare	0
coray	corpus	103/35690052
iuncke	country	26/337384
iuncke	milton	0
iuncke	shakespeare	0
iuncke	corpus	98/35690052
fucarandono	country	19/337384
fucarandono	milton	0
fucarandono	shakespeare	0
fucarandono	corpus	35/35690052
described	country	217/337384
described	milton	7/332927
described	shakespeare	0
described	corpus	3436/35690052
sceich	country	24/337384
sceich	milton	0
sceich	shakespeare	0
sceich	corpus	74/35690052
edmundus	country	42/337384
edmundus	milton	0
edmundus	shakespeare	0
edmundus	corpus	139/35690052
quabacondono	country	42/337384
quabacondono	milton	0
quabacondono	shakespeare	0
quabacondono	corpus	108/35690052
iapans	country	30/337384
iapans	milton	0
iapans	shakespeare	0
iapans	corpus	48/35690052
iezzo	country	9/337384
iezzo	milton	0
iezzo	shakespeare	0
iezzo	corpus	9/35690052
subdit	country	22/337384
subdit	milton	0
subdit	shakespeare	0
subdit	corpus	70/35690052
mentionat	country	22/337384
mentionat	milton	0
mentionat	shakespeare	0
mentionat	corpus	72/35690052
corea	country	55/337384
corea	milton	0
corea	shakespeare	0
corea	corpus	372/35690052
tayowan	country	16/337384
tayowan	milton	0
tayowan	shakespeare	0
tayowan	corpus	52/35690052
veglio	country	8/337384
veglio	milton	0
veglio	shakespeare	0
veglio	corpus	8/35690052
ongoschio	country	8/337384
ongoschio	milton	0
ongoschio	shakespeare	0
ongoschio	corpus	8/35690052
kockiens	country	8/337384
kockiens	milton	0
kockiens	shakespeare	0
kockiens	corpus	8/35690052
iapanish	country	8/337384
iapanish	milton	0
iapanish	shakespeare	0
iapanish	corpus	8/35690052
