word	collection	value
corea	country	183/24360
corea	milton	0
corea	shakespeare	0
corea	corpus	372/35690052
fernambuquo	country	13/24360
fernambuquo	milton	0
fernambuquo	shakespeare	0
fernambuquo	corpus	43/35690052
leaotung	country	16/24360
leaotung	milton	0
leaotung	shakespeare	0
leaotung	corpus	63/35690052
heixt	country	7/24360
heixt	milton	0
heixt	shakespeare	0
heixt	corpus	14/35690052
alexandrion	country	7/24360
alexandrion	milton	0
alexandrion	shakespeare	0
alexandrion	corpus	11/35690052
maovenlungus	country	7/24360
maovenlungus	milton	0
maovenlungus	shakespeare	0
maovenlungus	corpus	16/35690052
gabinius	country	16/24360
gabinius	milton	0
gabinius	shakespeare	0
gabinius	corpus	135/35690052
xunchi	country	11/24360
xunchi	milton	0
xunchi	shakespeare	0
xunchi	corpus	73/35690052
corean	country	8/24360
corean	milton	0
corean	shakespeare	0
corean	corpus	14/35690052
aristobulus	country	43/24360
aristobulus	milton	5/332927
aristobulus	shakespeare	0
aristobulus	corpus	405/35690052
toparchy	country	4/24360
toparchy	milton	0
toparchy	shakespeare	0
toparchy	corpus	4/35690052
guimarans	country	4/24360
guimarans	milton	0
guimarans	shakespeare	0
guimarans	corpus	4/35690052
coreans	country	18/24360
coreans	milton	0
coreans	shakespeare	0
coreans	corpus	42/35690052
lishborne	country	7/24360
lishborne	milton	0
lishborne	shakespeare	0
lishborne	corpus	28/35690052
saluador	country	12/24360
saluador	milton	0
saluador	shakespeare	0
saluador	corpus	52/35690052
sasa	country	9/24360
sasa	milton	0
sasa	shakespeare	0
sasa	corpus	23/35690052
peking	country	16/24360
peking	milton	0
peking	shakespeare	0
peking	corpus	297/35690052
taycko	country	5/24360
taycko	milton	0
taycko	shakespeare	0
taycko	corpus	12/35690052
yesso	country	5/24360
yesso	milton	0
yesso	shakespeare	0
yesso	corpus	13/35690052
hircanus	country	11/24360
hircanus	milton	1/332927
hircanus	shakespeare	0
hircanus	corpus	259/35690052
japon	country	21/24360
japon	milton	0
japon	shakespeare	0
japon	corpus	189/35690052
nagansacque	country	3/24360
nagansacque	milton	0
nagansacque	shakespeare	0
nagansacque	corpus	3/35690052
coreas	country	3/24360
coreas	milton	0
coreas	shakespeare	0
coreas	corpus	3/35690052
ninchean	country	3/24360
ninchean	milton	0
ninchean	shakespeare	0
ninchean	corpus	3/35690052
lishborn	country	4/24360
lishborn	milton	0
lishborn	shakespeare	0
