word	collection	value
axalla	country	440/1780403
axalla	milton	0
axalla	shakespeare	0
axalla	corpus	808/35690052
odmar	country	208/1780403
odmar	milton	0
odmar	shakespeare	0
odmar	corpus	292/35690052
calibes	country	144/1780403
calibes	milton	0
calibes	shakespeare	0
calibes	corpus	235/35690052
shechinah	country	141/1780403
shechinah	milton	0
shechinah	shakespeare	0
shechinah	corpus	154/35690052
syrupus	country	63/1780403
syrupus	milton	0
syrupus	shakespeare	0
syrupus	corpus	63/35690052
sectionis	country	82/1780403
sectionis	milton	0
sectionis	shakespeare	0
sectionis	corpus	83/35690052
londe	country	107/1780403
londe	milton	0
londe	shakespeare	0
londe	corpus	261/35690052
thanais	country	139/1780403
thanais	milton	0
thanais	shakespeare	0
thanais	corpus	260/35690052
peking	country	225/1780403
peking	milton	0
peking	shakespeare	0
peking	corpus	297/35690052
pulo	country	162/1780403
pulo	milton	0
pulo	shakespeare	0
pulo	corpus	304/35690052
pred	country	110/1780403
pred	milton	0
pred	shakespeare	0
pred	corpus	332/35690052
church	country	933/1780403
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
iapon	country	185/1780403
iapon	milton	0
iapon	shakespeare	0
iapon	corpus	386/35690052
mangi	country	99/1780403
mangi	milton	0
mangi	shakespeare	0
mangi	corpus	143/35690052
chane	country	56/1780403
chane	milton	0
chane	shakespeare	0
chane	corpus	66/35690052
vertues	country	821/1780403
vertues	milton	39/332927
vertues	shakespeare	77/686328
vertues	corpus	5047/35690052
cauled	country	123/1780403
cauled	milton	0
cauled	shakespeare	0
cauled	corpus	374/35690052
quartae	country	67/1780403
quartae	milton	0
quartae	shakespeare	0
quartae	corpus	69/35690052
unguentum	country	49/1780403
unguentum	milton	0
unguentum	shakespeare	0
unguentum	corpus	52/35690052
temperamentum	country	65/1780403
temperamentum	milton	0
temperamentum	shakespeare	0
temperamentum	corpus	67/35690052
persia	country	722/1780403
persia	milton	9/332927
persia	shakespeare	1/686328
persia	corpus	5218/35690052
boghar	country	63/1780403
boghar	milton	2/332927
boghar	shakespeare	0
boghar	corpus	93/35690052
caane	country	32/1780403
caane	milton	0
caane	shakespeare	0
caane	corpus	32/35690052
grete	country	104/1780403
grete	milton	0
grete	shakespeare	0
grete	corpus	367/35690052
junk	country	77/1780403
junk	milton	0
junk	shakespeare	0
junk	corpus	191/35690052
cochina	country	30/1780403
cochina	milton	0
cochina	shakespeare	0
cochina	corpus	30/35690052
chincheo	country	75/1780403
chincheo	milton	0
chincheo	shakespeare	0
chincheo	corpus	156/35690052
flore	country	187/1780403
flore	milton	5/332927
flore	shakespeare	0
flore	corpus	665/35690052
tamerlan	country	294/1780403
tamerlan	milton	1/332927
tamerlan	shakespeare	0
tamerlan	corpus	491/35690052
temperature	country	620/1780403
temperature	milton	1/332927
temperature	shakespeare	0
temperature	corpus	2612/35690052
paguinfou	country	40/1780403
paguinfou	milton	0
paguinfou	shakespeare	0
paguinfou	corpus	56/35690052
pilulae	country	53/1780403
pilulae	milton	0
pilulae	shakespeare	0
pilulae	corpus	56/35690052
chinese	country	591/1780403
chinese	milton	0
chinese	shakespeare	0
chinese	corpus	938/35690052
xensi	country	89/1780403
xensi	milton	0
xensi	shakespeare	0
xensi	corpus	105/35690052
xauerius	country	67/1780403
xauerius	milton	0
xauerius	shakespeare	0
xauerius	corpus	311/35690052
yowe	country	38/1780403
yowe	milton	0
yowe	shakespeare	0
yowe	corpus	114/35690052
decoction	country	170/1780403
decoction	milton	0
decoction	shakespeare	0
decoction	corpus	365/35690052
non	country	575/1780403
non	milton	224/332927
non	shakespeare	18/686328
non	corpus	7757/35690052
collibus	country	26/1780403
