word	collection	value
qvest	country	459/5934629
qvest	milton	0
qvest	shakespeare	0
qvest	corpus	459/35690052
israel	country	7687/5934629
israel	milton	61/332927
israel	shakespeare	1/686328
israel	corpus	8823/35690052
church	country	6882/5934629
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
pharaoh	country	2924/5934629
pharaoh	milton	1/332927
pharaoh	shakespeare	0
pharaoh	corpus	3080/35690052
psal	country	2736/5934629
psal	milton	19/332927
psal	shakespeare	0
psal	corpus	3211/35690052
axalla	country	368/5934629
axalla	milton	0
axalla	shakespeare	0
axalla	corpus	808/35690052
iehovah	country	914/5934629
iehovah	milton	0
iehovah	shakespeare	0
iehovah	corpus	932/35690052
aegypt	country	4414/5934629
aegypt	milton	6/332927
aegypt	shakespeare	2/686328
aegypt	corpus	5546/35690052
faith	country	3770/5934629
faith	milton	154/332927
faith	shakespeare	433/686328
faith	corpus	14388/35690052
exod	country	3667/5934629
exod	milton	1/332927
exod	shakespeare	0
exod	corpus	3912/35690052
israelites	country	3450/5934629
israelites	milton	19/332927
israelites	shakespeare	0
israelites	corpus	3834/35690052
gen	country	3448/5934629
gen	milton	11/332927
gen	shakespeare	1/686328
gen	corpus	4494/35690052
abraham	country	3363/5934629
abraham	milton	9/332927
abraham	shakespeare	4/686328
abraham	corpus	4065/35690052
antiochus	country	1579/5934629
antiochus	milton	2/332927
antiochus	shakespeare	12/686328
antiochus	corpus	1914/35690052
pharaos	country	136/5934629
pharaos	milton	0
pharaos	shakespeare	0
pharaos	corpus	136/35690052
heb	country	1335/5934629
heb	milton	7/332927
heb	shakespeare	0
heb	corpus	1490/35690052
onias	country	247/5934629
onias	milton	0
onias	shakespeare	0
onias	corpus	259/35690052
covenant	country	2816/5934629
covenant	milton	10/332927
covenant	shakespeare	2/686328
covenant	corpus	4375/35690052
prophet	country	2797/5934629
prophet	milton	36/332927
prophet	shakespeare	20/686328
prophet	corpus	3965/35690052
pharao	country	818/5934629
pharao	milton	3/332927
pharao	shakespeare	0
pharao	corpus	871/35690052
ioseph	country	2764/5934629
ioseph	milton	0
ioseph	shakespeare	1/686328
ioseph	corpus	3274/35690052
aaron	country	1254/5934629
aaron	milton	9/332927
aaron	shakespeare	22/686328
aaron	corpus	1405/35690052
worold	country	117/5934629
worold	milton	0
worold	shakespeare	0
worold	corpus	117/35690052
canaan	country	2508/5934629
canaan	milton	9/332927
canaan	shakespeare	0
canaan	corpus	2801/35690052
lorde	country	2503/5934629
lorde	milton	0
lorde	shakespeare	6/686328
lorde	corpus	4013/35690052
wicked	country	2478/5934629
wicked	milton	60/332927
wicked	shakespeare	78/686328
wicked	corpus	5941/35690052
babylon	country	2401/5934629
babylon	milton	6/332927
babylon	shakespeare	3/686328
babylon	corpus	3611/35690052
honderd	country	109/5934629
honderd	milton	0
honderd	shakespeare	0
honderd	corpus	109/35690052
iakob	country	108/5934629
iakob	milton	0
iakob	shakespeare	0
iakob	corpus	108/35690052
souche	country	105/5934629
souche	milton	0
souche	shakespeare	0
souche	corpus	105/35690052
memphis	country	465/5934629
memphis	milton	1/332927
memphis	shakespeare	1/686328
memphis	corpus	545/35690052
perer	country	197/5934629
perer	milton	0
perer	shakespeare	0
perer	corpus	217/35690052
rahab	country	144/5934629
rahab	milton	0
rahab	shakespeare	0
rahab	corpus	149/35690052
vers	country	2108/5934629
vers	milton	15/332927
vers	shakespeare	0
vers	corpus	2544/35690052
herod	country	967/5934629
herod	milton	10/332927
herod	shakespeare	6/686328
herod	corpus	1200/35690052
alexandria	country	2016/5934629
alexandria	milton	6/332927
alexandria	shakespeare	5/686328
alexandria	corpus	3128/35690052
hast	country	1986/5934629
hast	milton	180/332927
hast	shakespeare	798/686328
hast	corpus	3970/35690052
antigonus	country	568/5934629
antigonus	milton	5/332927
antigonus	shakespeare	6/686328
antigonus	corpus	840/35690052
chanaan	country	168/5934629
chanaan	milton	0
chanaan	shakespeare	0
chanaan	corpus	175/35690052
bondage	country	1911/5934629
bondage	milton	20/332927
bondage	shakespeare	23/686328
bondage	corpus	2564/35690052
epiphanes	country	288/5934629
epiphanes	milton	0
epiphanes	shakespeare	0
epiphanes	corpus	297/35690052
quest	country	1883/5934629
quest	milton	8/332927
quest	shakespeare	14/686328
quest	corpus	2093/35690052
aftir	country	86/5934629
aftir	milton	0
aftir	shakespeare	0
aftir	corpus	86/35690052
cyte	country	216/5934629
cyte	milton	0
cyte	shakespeare	0
cyte	corpus	283/35690052
iere	country	163/5934629
iere	milton	0
iere	shakespeare	0
iere	corpus	167/35690052
shalt	country	1863/5934629
shalt	milton	76/332927
shalt	shakespeare	363/686328
shalt	corpus	2548/35690052
sinne	country	1847/5934629
sinne	milton	2/332927
sinne	shakespeare	162/686328
sinne	corpus	2689/35690052
captivity	country	869/5934629
captivity	milton	16/332927
captivity	shakespeare	1/686328
captivity	corpus	1324/35690052
iacob	country	1839/5934629
iacob	milton	0
iacob	shakespeare	12/686328
iacob	corpus	2333/35690052
philometor	country	160/5934629
philometor	milton	0
philometor	shakespeare	0
philometor	corpus	163/35690052
hearts	country	1792/5934629
hearts	milton	37/332927
hearts	shakespeare	257/686328
hearts	corpus	4785/35690052
cleopatra	country	845/5934629
cleopatra	milton	0
cleopatra	shakespeare	33/686328
cleopatra	corpus	1169/35690052
ver	country	1782/5934629
ver	milton	16/332927
ver	shakespeare	5/686328
ver	corpus	2651/35690052
david	country	1767/5934629
david	milton	59/332927
david	shakespeare	0
david	corpus	3260/35690052
deut	country	1736/5934629
deut	milton	5/332927
deut	shakespeare	0
