word	collection	value
church	country	13673/3936066
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
parliament	country	8128/3936066
parliament	milton	148/332927
parliament	shakespeare	23/686328
parliament	corpus	18590/35690052
ireland	country	6104/3936066
ireland	milton	31/332927
ireland	shakespeare	31/686328
ireland	corpus	12641/35690052
scotland	country	5836/3936066
scotland	milton	30/332927
scotland	shakespeare	31/686328
scotland	corpus	15620/35690052
earle	country	4648/3936066
earle	milton	1/332927
earle	shakespeare	105/686328
earle	corpus	13497/35690052
queen	country	4326/3936066
queen	milton	77/332927
queen	shakespeare	27/686328
queen	corpus	24670/35690052
edward	country	4249/3936066
edward	milton	113/332927
edward	shakespeare	137/686328
edward	corpus	12606/35690052
scots	country	3557/3936066
scots	milton	65/332927
scots	shakespeare	8/686328
scots	corpus	8998/35690052
canturburie	country	392/3936066
canturburie	milton	0
canturburie	shakespeare	0
canturburie	corpus	523/35690052
pope	country	3393/3936066
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	32412/35690052
treasuror	country	358/3936066
treasuror	milton	0
treasuror	shakespeare	0
treasuror	corpus	414/35690052
earl	country	2845/3936066
earl	milton	77/332927
earl	shakespeare	0
earl	corpus	13272/35690052
ministers	country	2465/3936066
ministers	milton	39/332927
ministers	shakespeare	24/686328
ministers	corpus	7981/35690052
interest	country	2425/3936066
interest	milton	49/332927
interest	shakespeare	38/686328
interest	corpus	10619/35690052
case	country	2420/3936066
case	milton	71/332927
case	shakespeare	132/686328
case	corpus	12172/35690052
burgognie	country	146/3936066
burgognie	milton	0
burgognie	shakespeare	0
burgognie	corpus	265/35690052
gruffyth	country	143/3936066
gruffyth	milton	0
gruffyth	shakespeare	0
gruffyth	corpus	144/35690052
churches	country	2116/3936066
churches	milton	51/332927
churches	shakespeare	8/686328
churches	corpus	8945/35690052
henrie	country	1998/3936066
henrie	milton	0
henrie	shakespeare	18/686328
henrie	corpus	3616/35690052
shortlie	country	301/3936066
shortlie	milton	0
shortlie	shakespeare	2/686328
shortlie	corpus	510/35690052
warwike	country	172/3936066
warwike	milton	0
warwike	shakespeare	0
warwike	corpus	265/35690052
robert	country	1851/3936066
robert	milton	9/332927
robert	shakespeare	31/686328
robert	corpus	6532/35690052
majesties	country	1844/3936066
majesties	milton	11/332927
majesties	shakespeare	0
majesties	corpus	5754/35690052
charles	country	1826/3936066
charles	milton	92/332927
charles	shakespeare	54/686328
charles	corpus	18673/35690052
justice	country	1772/3936066
justice	milton	130/332927
justice	shakespeare	2/686328
justice	corpus	7804/35690052
pannal	country	81/3936066
pannal	milton	0
pannal	shakespeare	0
pannal	corpus	81/35690052
lhewelyn	country	81/3936066
lhewelyn	milton	0
lhewelyn	shakespeare	0
lhewelyn	corpus	81/35690052
anie	country	831/3936066
anie	milton	0
anie	shakespeare	40/686328
anie	corpus	2405/35690052
irish	country	1754/3936066
irish	milton	26/332927
irish	shakespeare	11/686328
irish	corpus	3617/35690052
depons	country	80/3936066
depons	milton	0
depons	shakespeare	0
depons	corpus	80/35690052
faith	country	1730/3936066
faith	milton	154/332927
faith	shakespeare	433/686328
faith	corpus	14388/35690052
wales	country	1729/3936066
wales	milton	30/332927
wales	shakespeare	41/686328
wales	corpus	3406/35690052
protestant	country	1720/3936066
protestant	milton	43/332927
protestant	shakespeare	0
protestant	corpus	5464/35690052
granted	country	1710/3936066
granted	milton	47/332927
granted	shakespeare	24/686328
granted	corpus	7754/35690052
commons	country	1685/3936066
commons	milton	47/332927
commons	shakespeare	31/686328
commons	corpus	3708/35690052
anno	country	1555/3936066
anno	milton	26/332927
anno	shakespeare	1/686328
anno	corpus	8186/35690052
lawes	country	1550/3936066
lawes	milton	11/332927
lawes	shakespeare	57/686328
lawes	corpus	5804/35690052
jerviswood	country	70/3936066
jerviswood	milton	0
jerviswood	shakespeare	0
jerviswood	corpus	70/35690052
liberties	country	1495/3936066
liberties	milton	9/332927
liberties	shakespeare	8/686328
liberties	corpus	3505/35690052
welshmen	country	169/3936066
welshmen	milton	0
welshmen	shakespeare	2/686328
welshmen	corpus	215/35690052
reigne	country	693/3936066
reigne	milton	13/332927
reigne	shakespeare	28/686328
reigne	corpus	2021/35690052
humfrie	country	95/3936066
humfrie	milton	0
humfrie	shakespeare	0
humfrie	corpus	106/35690052
clergy	country	1448/3936066
clergy	milton	29/332927
clergy	shakespeare	2/686328
clergy	corpus	4973/35690052
daie	country	674/3936066
daie	milton	0
daie	shakespeare	5/686328
daie	corpus	1384/35690052
matters	country	1424/3936066
matters	milton	83/332927
matters	shakespeare	35/686328
matters	corpus	8593/35690052
protestants	country	1414/3936066
protestants	milton	36/332927
protestants	shakespeare	0
protestants	corpus	6526/35690052
archbishop	country	1396/3936066
archbishop	milton	35/332927
archbishop	shakespeare	16/686328
archbishop	corpus	5738/35690052
consent	country	1392/3936066
consent	milton	42/332927
consent	shakespeare	123/686328
consent	corpus	8025/35690052
ene	country	1375/3936066
ene	milton	0
ene	shakespeare	12/686328
ene	corpus	4375/35690052
abbeie	country	89/3936066
abbeie	milton	0
abbeie	shakespeare	0
abbeie	corpus	137/35690052
clarence	country	206/3936066
clarence	milton	0
clarence	shakespeare	99/686328
clarence	corpus	685/35690052
dissenters	country	630/3936066
dissenters	milton	0
dissenters	shakespeare	0
dissenters	corpus	847/35690052
popish	country	1329/3936066
popish	milton	8/332927
popish	shakespeare	1/686328
popish	corpus	3751/35690052
conscience	country	1322/3936066
conscience	milton	50/332927
conscience	shakespeare	154/686328
conscience	corpus	5461/35690052
norffolke	country	114/3936066
norffolke	milton	0
norffolke	shakespeare	1/686328
norffolke	corpus	147/35690052
commissar	country	59/3936066
commissar	milton	0
commissar	shakespeare	0
commissar	corpus	59/35690052
torwoodlie	country	59/3936066
torwoodlie	milton	0
torwoodlie	shakespeare	0
torwoodlie	corpus	59/35690052
normandie	country	608/3936066
normandie	milton	0
normandie	shakespeare	6/686328
normandie	corpus	1519/35690052
bullongne	country	84/3936066
bullongne	milton	0
bullongne	shakespeare	0
bullongne	corpus	148/35690052
oath	country	1281/3936066
oath	milton	75/332927
oath	shakespeare	180/686328
oath	corpus	5667/35690052
deponent	country	375/3936066
deponent	milton	3/332927
deponent	shakespeare	0
deponent	corpus	562/35690052
monro	country	79/3936066
monro	milton	0
monro	shakespeare	0
monro	corpus	80/35690052
informant	country	180/3936066
informant	milton	0
informant	shakespeare	0
informant	corpus	447/35690052
meredyth	country	54/3936066
meredyth	milton	0
meredyth	shakespeare	0
meredyth	corpus	54/35690052
hir	country	1175/3936066
hir	milton	13/332927
hir	shakespeare	29/686328
hir	corpus	3987/35690052
per	country	1165/3936066
per	milton	158/332927
per	shakespeare	7/686328
per	corpus	5685/35690052
elie	country	174/3936066
elie	milton	1/332927
elie	shakespeare	0
elie	corpus	252/35690052
salisburie	country	131/3936066
salisburie	milton	0
salisburie	shakespeare	3/686328
salisburie	corpus	226/35690052
polwort	country	52/3936066
polwort	milton	0
polwort	shakespeare	0
polwort	corpus	52/35690052
popery	country	1128/3936066
popery	milton	5/332927
popery	shakespeare	0
popery	corpus	2417/35690052
greie	country	73/3936066
greie	milton	0
greie	shakespeare	0
greie	corpus	102/35690052
gallowsheils	country	51/3936066
gallowsheils	milton	0
gallowsheils	shakespeare	0
gallowsheils	corpus	51/35690052
westminster	country	1103/3936066
westminster	milton	31/332927
westminster	shakespeare	7/686328
westminster	corpus	2364/35690052
popes	country	1094/3936066
popes	milton	2/332927
popes	shakespeare	0
popes	corpus	8011/35690052
barons	country	1086/3936066
barons	milton	12/332927
barons	shakespeare	6/686328
barons	corpus	3236/35690052
moonks	country	71/3936066
moonks	milton	0
moonks	shakespeare	0
moonks	corpus	96/35690052
berwick	country	223/3936066
berwick	milton	0
berwick	shakespeare	0
berwick	corpus	409/35690052
reformed	country	1077/3936066
reformed	milton	38/332927
reformed	shakespeare	3/686328
reformed	corpus	3940/35690052
northwales	country	94/3936066
northwales	milton	1/332927
northwales	shakespeare	0
northwales	corpus	100/35690052
rafe	country	94/3936066
rafe	milton	0
rafe	shakespeare	2/686328
rafe	corpus	135/35690052
declare	country	1068/3936066
declare	milton	39/332927
declare	shakespeare	7/686328
declare	corpus	5280/35690052
declaration	country	1044/3936066
declaration	milton	5/332927
declaration	shakespeare	0
declaration	corpus	3280/35690052
cochran	country	68/3936066
cochran	milton	0
cochran	shakespeare	0
cochran	corpus	73/35690052
namelie	country	119/3936066
namelie	milton	0
namelie	shakespeare	0
namelie	corpus	230/35690052
paris	country	1032/3936066
paris	milton	16/332927
paris	shakespeare	123/686328
paris	corpus	11048/35690052
grant	country	1027/3936066
grant	milton	42/332927
grant	shakespeare	102/686328
grant	corpus	4561/35690052
normandy	country	1021/3936066
normandy	milton	22/332927
normandy	shakespeare	1/686328
normandy	corpus	3747/35690052
tarras	country	117/3936066
tarras	milton	0
tarras	shakespeare	0
tarras	corpus	123/35690052
statute	country	987/3936066
statute	milton	9/332927
statute	shakespeare	5/686328
statute	corpus	1663/35690052
varillas	country	203/3936066
varillas	milton	0
varillas	shakespeare	0
varillas	corpus	343/35690052
marriage	country	984/3936066
marriage	milton	31/332927
marriage	shakespeare	138/686328
marriage	corpus	8299/35690052
bound	country	970/3936066
bound	milton	102/332927
bound	shakespeare	225/686328
bound	corpus	6925/35690052
wardens	country	286/3936066
wardens	milton	0
wardens	shakespeare	0
wardens	corpus	357/35690052
parliaments	country	969/3936066
parliaments	milton	32/332927
parliaments	shakespeare	0
parliaments	corpus	2359/35690052
catholick	country	967/3936066
catholick	milton	9/332927
catholick	shakespeare	0
catholick	corpus	6911/35690052
become	country	965/3936066
become	milton	47/332927
become	shakespeare	181/686328
become	corpus	8145/35690052
issue	country	963/3936066
issue	milton	21/332927
issue	shakespeare	125/686328
issue	corpus	5611/35690052
capteins	country	110/3936066
capteins	milton	0
capteins	shakespeare	0
capteins	corpus	215/35690052
