word	collection	value
church	country	3062/4877780
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
macedons	country	225/4877780
macedons	milton	0
macedons	shakespeare	0
macedons	corpus	284/35690052
whiche	country	2311/4877780
whiche	milton	0
whiche	shakespeare	0
whiche	corpus	5763/35690052
percians	country	104/4877780
percians	milton	0
percians	shakespeare	0
percians	corpus	104/35690052
coching	country	102/4877780
coching	milton	0
coching	shakespeare	0
coching	corpus	102/35690052
persia	country	2035/4877780
persia	milton	9/332927
persia	shakespeare	1/686328
persia	corpus	5218/35690052
est	country	2018/4877780
est	milton	145/332927
est	shakespeare	17/686328
est	corpus	8252/35690052
non	country	1976/4877780
non	milton	224/332927
non	shakespeare	18/686328
non	corpus	7757/35690052
calycut	country	90/4877780
calycut	milton	0
calycut	shakespeare	0
calycut	corpus	90/35690052
uma	country	82/4877780
uma	milton	0
uma	shakespeare	0
uma	corpus	82/35690052
cariclia	country	80/4877780
cariclia	milton	0
cariclia	shakespeare	0
cariclia	corpus	80/35690052
wine	country	1642/4877780
wine	milton	27/332927
wine	shakespeare	110/686328
wine	corpus	6053/35690052
paracoussy	country	107/4877780
paracoussy	milton	0
paracoussy	shakespeare	0
paracoussy	corpus	167/35690052
faith	country	1515/4877780
faith	milton	154/332927
faith	shakespeare	433/686328
faith	corpus	14388/35690052
cauled	country	230/4877780
cauled	milton	0
cauled	shakespeare	0
cauled	corpus	374/35690052
amonges	country	168/4877780
amonges	milton	0
amonges	shakespeare	0
amonges	corpus	186/35690052
xauerius	country	166/4877780
xauerius	milton	0
xauerius	shakespeare	0
xauerius	corpus	311/35690052
pisarro	country	91/4877780
pisarro	milton	0
pisarro	shakespeare	0
pisarro	corpus	93/35690052
drachms	country	206/4877780
drachms	milton	0
drachms	shakespeare	0
drachms	corpus	282/35690052
horses	country	1346/4877780
horses	milton	28/332927
horses	shakespeare	74/686328
horses	corpus	5362/35690052
goa	country	1326/4877780
goa	milton	0
goa	shakespeare	0
goa	corpus	3505/35690052
vtina	country	114/4877780
vtina	milton	0
vtina	shakespeare	0
vtina	corpus	176/35690052
guatemala	country	266/4877780
guatemala	milton	0
guatemala	shakespeare	0
guatemala	corpus	587/35690052
black	country	1254/4877780
black	milton	36/332927
black	shakespeare	57/686328
black	corpus	4368/35690052
owre	country	188/4877780
owre	milton	0
owre	shakespeare	0
owre	corpus	249/35690052
aldrov	country	107/4877780
aldrov	milton	0
aldrov	shakespeare	0
aldrov	corpus	209/35690052
vertues	country	1221/4877780
vertues	milton	39/332927
vertues	shakespeare	77/686328
vertues	corpus	5047/35690052
cacique	country	184/4877780
cacique	milton	0
cacique	shakespeare	0
cacique	corpus	293/35690052
yowe	country	76/4877780
yowe	milton	0
yowe	shakespeare	0
yowe	corpus	114/35690052
canoas	country	342/4877780
canoas	milton	0
canoas	shakespeare	0
canoas	corpus	454/35690052
caule	country	133/4877780
caule	milton	0
caule	shakespeare	0
caule	corpus	207/35690052
per	country	1155/4877780
per	milton	158/332927
per	shakespeare	7/686328
per	corpus	5685/35690052
golde	country	1141/4877780
golde	milton	0
golde	shakespeare	10/686328
golde	corpus	2144/35690052
ingua	country	129/4877780
ingua	milton	0
ingua	shakespeare	0
ingua	corpus	139/35690052
owte	country	98/4877780
owte	milton	0
owte	shakespeare	0
owte	corpus	125/35690052
abque	country	1119/4877780
abque	milton	17/332927
abque	shakespeare	0
abque	corpus	3135/35690052
maner	country	1116/4877780
maner	milton	0
maner	shakespeare	3/686328
maner	corpus	4069/35690052
selues	country	1115/4877780
selues	milton	0
selues	shakespeare	219/686328
selues	corpus	4062/35690052
yowre	country	73/4877780
yowre	milton	0
yowre	shakespeare	0
yowre	corpus	87/35690052
poore	country	1114/4877780
poore	milton	4/332927
poore	shakespeare	763/686328
poore	corpus	4906/35690052
eat	country	1113/4877780
eat	milton	31/332927
eat	shakespeare	23/686328
eat	corpus	4451/35690052
suche	country	1104/4877780
suche	milton	0
suche	shakespeare	1/686328
suche	corpus	2395/35690052
eumenes	country	226/4877780
eumenes	milton	0
eumenes	shakespeare	1/686328
eumenes	corpus	409/35690052
beast	country	1089/4877780
beast	milton	54/332927
beast	shakespeare	92/686328
beast	corpus	3691/35690052
case	country	1073/4877780
case	milton	71/332927
case	shakespeare	132/686328
case	corpus	12172/35690052
bessus	country	93/4877780
bessus	milton	0
bessus	shakespeare	0
bessus	corpus	102/35690052
hym	country	1058/4877780
hym	milton	0
hym	shakespeare	1/686328
hym	corpus	4913/35690052
theagenes	country	69/4877780
theagenes	milton	0
theagenes	shakespeare	0
theagenes	corpus	72/35690052
become	country	1047/4877780
become	milton	47/332927
become	shakespeare	181/686328
become	corpus	8145/35690052
qui	country	1038/4877780
qui	milton	88/332927
qui	shakespeare	4/686328
qui	corpus	5204/35690052
venk	country	117/4877780
venk	milton	0
venk	shakespeare	0
venk	corpus	285/35690052
cum	country	1015/4877780
cum	milton	93/332927
cum	shakespeare	2/686328
cum	corpus	3284/35690052
abundance	country	992/4877780
abundance	milton	9/332927
abundance	shakespeare	12/686328
abundance	corpus	3787/35690052
worke	country	979/4877780
worke	milton	13/332927
worke	shakespeare	238/686328
worke	corpus	4699/35690052
bound	country	975/4877780
bound	milton	102/332927
bound	shakespeare	225/686328
bound	corpus	6925/35690052
pope	country	963/4877780
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	32412/35690052
pred	country	110/4877780
pred	milton	0
pred	shakespeare	0
pred	corpus	332/35690052
elephants	country	943/4877780
elephants	milton	2/332927
elephants	shakespeare	2/686328
elephants	corpus	1747/35690052
die	country	926/4877780
die	milton	58/332927
die	shakespeare	293/686328
die	corpus	4659/35690052
frumentius	country	106/4877780
frumentius	milton	0
frumentius	shakespeare	0
frumentius	corpus	115/35690052
indus	country	435/4877780
indus	milton	2/332927
indus	shakespeare	0
indus	corpus	697/35690052
ryuer	country	432/4877780
ryuer	milton	0
ryuer	shakespeare	0
ryuer	corpus	1092/35690052
bene	country	902/4877780
bene	milton	14/332927
bene	shakespeare	94/686328
bene	corpus	3460/35690052
oriana	country	41/4877780
oriana	milton	0
oriana	shakespeare	0
oriana	corpus	41/35690052
spicknard	country	102/4877780
spicknard	milton	0
spicknard	shakespeare	1/686328
spicknard	corpus	123/35690052
sweet	country	882/4877780
sweet	milton	115/332927
sweet	shakespeare	795/686328
sweet	corpus	3254/35690052
egypt	country	877/4877780
egypt	milton	23/332927
egypt	shakespeare	41/686328
egypt	corpus	2226/35690052
face	country	870/4877780
face	milton	54/332927
face	shakespeare	565/686328
face	corpus	5213/35690052
bicause	country	410/4877780
bicause	milton	0
bicause	shakespeare	0
bicause	corpus	1644/35690052
thinges	country	862/4877780
thinges	milton	0
thinges	shakespeare	1/686328
thinges	corpus	2364/35690052
hot	country	857/4877780
hot	milton	11/332927
hot	shakespeare	199/686328
hot	corpus	3448/35690052
courten	country	403/4877780
courten	milton	0
courten	shakespeare	0
courten	corpus	1140/35690052
hir	country	853/4877780
hir	milton	13/332927
hir	shakespeare	29/686328
hir	corpus	3987/35690052
greate	country	853/4877780
greate	milton	1/332927
greate	shakespeare	0
greate	corpus	2003/35690052
churches	country	851/4877780
churches	milton	51/332927
churches	shakespeare	8/686328
churches	corpus	8945/35690052
maiz	country	401/4877780
maiz	milton	0
maiz	shakespeare	0
maiz	corpus	570/35690052
hys	country	400/4877780
hys	milton	0
hys	shakespeare	0
hys	corpus	1768/35690052
riuers	country	846/4877780
riuers	milton	0
riuers	shakespeare	27/686328
riuers	corpus	2293/35690052
qacute	country	74/4877780
qacute	milton	0
qacute	shakespeare	0
qacute	corpus	97/35690052
kindes	country	834/4877780
kindes	milton	5/332927
kindes	shakespeare	5/686328
kindes	corpus	2348/35690052
sayd	country	831/4877780
