word	collection	value
polexander	country	351/2678470
polexander	milton	0
polexander	shakespeare	0
polexander	corpus	367/35690052
alonso	country	928/2678470
alonso	milton	0
alonso	shakespeare	2/686328
alonso	corpus	3004/35690052
pope	country	2332/2678470
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	32412/35690052
alcidiana	country	150/2678470
alcidiana	milton	0
alcidiana	shakespeare	0
alcidiana	corpus	151/35690052
queen	country	2021/2678470
queen	milton	77/332927
queen	shakespeare	27/686328
queen	corpus	24670/35690052
amadour	country	90/2678470
amadour	milton	0
amadour	shakespeare	0
amadour	corpus	90/35690052
diceus	country	89/2678470
diceus	milton	0
diceus	shakespeare	0
diceus	corpus	89/35690052
amintha	country	87/2678470
amintha	milton	0
amintha	shakespeare	0
amintha	corpus	87/35690052
eolinda	country	81/2678470
eolinda	milton	0
eolinda	shakespeare	0
eolinda	corpus	81/35690052
church	country	1755/2678470
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
sciah	country	114/2678470
sciah	milton	0
sciah	shakespeare	0
sciah	corpus	157/35690052
informant	country	241/2678470
informant	milton	0
informant	shakespeare	0
informant	corpus	447/35690052
zabaim	country	137/2678470
zabaim	milton	0
zabaim	shakespeare	0
zabaim	corpus	139/35690052
philip	country	1376/2678470
philip	milton	25/332927
philip	shakespeare	14/686328
philip	corpus	12435/35690052
luy	country	273/2678470
luy	milton	0
luy	shakespeare	1/686328
luy	corpus	1023/35690052
goa	country	1308/2678470
goa	milton	0
goa	shakespeare	0
goa	corpus	3505/35690052
iphidamantus	country	83/2678470
iphidamantus	milton	0
iphidamantus	shakespeare	0
iphidamantus	corpus	101/35690052
axiamira	country	57/2678470
axiamira	milton	0
axiamira	shakespeare	0
axiamira	corpus	57/35690052
charles	country	1132/2678470
charles	milton	92/332927
charles	shakespeare	54/686328
charles	corpus	18673/35690052
castille	country	224/2678470
castille	milton	0
castille	shakespeare	0
castille	corpus	560/35690052
aragon	country	1081/2678470
aragon	milton	0
aragon	shakespeare	0
aragon	corpus	4190/35690052
earl	country	1045/2678470
earl	milton	77/332927
earl	shakespeare	0
earl	corpus	13272/35690052
moors	country	1014/2678470
moors	milton	1/332927
moors	shakespeare	0
moors	corpus	4428/35690052
adil	country	66/2678470
adil	milton	0
adil	shakespeare	0
adil	corpus	106/35690052
aragonians	country	152/2678470
aragonians	milton	0
aragonians	shakespeare	0
aragonians	corpus	535/35690052
beatrix	country	151/2678470
beatrix	milton	0
beatrix	shakespeare	0
beatrix	corpus	422/35690052
almanzor	country	285/2678470
almanzor	milton	0
almanzor	shakespeare	0
almanzor	corpus	348/35690052
auoient	country	63/2678470
auoient	milton	0
auoient	shakespeare	0
auoient	corpus	181/35690052
florinda	country	84/2678470
florinda	milton	0
florinda	shakespeare	0
