word	collection	value
pope	country	7645/5574522
pope	milton	75/332927
pope	shakespeare	19/686328
pope	corpus	32412/35690052
queen	country	6195/5574522
queen	milton	77/332927
queen	shakespeare	27/686328
queen	corpus	24670/35690052
church	country	5653/5574522
church	milton	307/332927
church	shakespeare	98/686328
church	corpus	44798/35690052
charles	country	3505/5574522
charles	milton	92/332927
charles	shakespeare	54/686328
charles	corpus	18673/35690052
alonso	country	1008/5574522
alonso	milton	0
alonso	shakespeare	2/686328
alonso	corpus	3004/35690052
philip	country	3223/5574522
philip	milton	25/332927
philip	shakespeare	14/686328
philip	corpus	12435/35690052
germany	country	3078/5574522
germany	milton	14/332927
germany	shakespeare	3/686328
germany	corpus	10175/35690052
cardinal	country	3056/5574522
cardinal	milton	11/332927
cardinal	shakespeare	1/686328
cardinal	corpus	9483/35690052
mayenne	country	244/5574522
mayenne	milton	0
mayenne	shakespeare	0
mayenne	corpus	721/35690052
earl	country	2769/5574522
earl	milton	77/332927
earl	shakespeare	0
earl	corpus	13272/35690052
parliament	country	2717/5574522
parliament	milton	148/332927
parliament	shakespeare	23/686328
parliament	corpus	18590/35690052
flanders	country	2626/5574522
flanders	milton	14/332927
flanders	shakespeare	2/686328
flanders	corpus	8680/35690052
catholick	country	2401/5574522
catholick	milton	9/332927
catholick	shakespeare	0
catholick	corpus	6911/35690052
count	country	2395/5574522
count	milton	50/332927
count	shakespeare	129/686328
count	corpus	8330/35690052
interest	country	2355/5574522
interest	milton	49/332927
interest	shakespeare	38/686328
interest	corpus	10619/35690052
case	country	2309/5574522
case	milton	71/332927
case	shakespeare	132/686328
case	corpus	12172/35690052
naples	country	2127/5574522
naples	milton	2/332927
naples	shakespeare	31/686328
naples	corpus	6385/35690052
business	country	2059/5574522
business	milton	31/332927
business	shakespeare	4/686328
business	corpus	6926/35690052
marriage	country	1973/5574522
marriage	milton	31/332927
marriage	shakespeare	138/686328
marriage	corpus	8299/35690052
casalle	country	127/5574522
casalle	milton	0
casalle	shakespeare	0
casalle	corpus	269/35690052
turenne	country	221/5574522
turenne	milton	0
turenne	shakespeare	0
turenne	corpus	852/35690052
faith	country	1872/5574522
faith	milton	154/332927
faith	shakespeare	433/686328
faith	corpus	14388/35690052
phelim	country	121/5574522
phelim	milton	0
phelim	shakespeare	0
phelim	corpus	122/35690052
spaniard	country	1847/5574522
spaniard	milton	3/332927
spaniard	shakespeare	5/686328
spaniard	corpus	5527/35690052
moors	country	1818/5574522
moors	milton	1/332927
moors	shakespeare	0
moors	corpus	4428/35690052
ireland	country	1811/5574522
ireland	milton	31/332927
ireland	shakespeare	31/686328
ireland	corpus	12641/35690052
infanta	country	844/5574522
infanta	milton	0
infanta	shakespeare	0
infanta	corpus	1657/35690052
popes	country	1715/5574522
popes	milton	2/332927
popes	shakespeare	0
popes	corpus	8011/35690052
cassalle	country	148/5574522
cassalle	milton	0
cassalle	shakespeare	0
cassalle	corpus	349/35690052
consent	country	1603/5574522
consent	milton	42/332927
consent	shakespeare	123/686328
consent	corpus	8025/35690052
scotland	country	1597/5574522
scotland	milton	30/332927
scotland	shakespeare	31/686328
scotland	corpus	15620/35690052
agreed	country	1543/5574522
agreed	milton	17/332927
agreed	shakespeare	21/686328
agreed	corpus	6110/35690052
matters	country	1541/5574522
matters	milton	83/332927
matters	shakespeare	35/686328
matters	corpus	8593/35690052
turks	country	1521/5574522
turks	milton	9/332927
turks	shakespeare	1/686328
turks	corpus	5612/35690052
justice	country	1493/5574522
justice	milton	130/332927
justice	shakespeare	2/686328
justice	corpus	7804/35690052
